TEAM,Vegas Insider,Five Thirty Eight
Arizona Diamondbacks,Arizona,Diamondbacks
Atlanta Braves,Atlanta,Braves
Baltimore Orioles,Baltimore,Orioles
Boston Red Sox,Boston,Red Sox
Chicago Cubs,Chi. Cubs,Cubs
Chicago White Sox,Chi. White Sox,White Sox
Cincinnati Reds,Cincinnati,Reds
Cleveland Indians,Cleveland,Indians
Colorado Rockies,Colorado,Rockies
Detroit Tigers,Detroit,Tigers
Houston Astros,Houston,Astros
Kansas City Royals,Kansas City,Royals
Los Angeles Angels,L.A. Angels,Angels
Los Angeles Dodgers,L.A. Dodgers,Dodgers
Miami Marlins,Miami,Marlins
Milwaukee Brewers,Milwaukee,Brewers
Minnesota Twins,Minnesota,Twins
New York Mets,N.Y. Mets,Mets
New York Yankees,N.Y. Yankees,Yankees
Oakland Athletics,Oakland,Athletics
Philadelphia Phillies,Philadelphia,Phillies
Pittsburgh Pirates,Pittsburgh,Pirates
San Diego Padres,San Diego,Padres
San Francisco Giants,San Francisco,Giants
Seattle Mariners,Seattle,Mariners
St. Louis Cardinals,St. Louis,Cardinals
Tampa Bay Rays,Tampa Bay,Rays
Texas Rangers,Texas,Rangers
Toronto Blue Jays,Toronto,Blue Jays
Washington Nationals,Washington,Nationals
